GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
upload,com.upload.domain.core.load,LoadServiceImpl,0,49,2,2,0,13,2,4,0,4
upload,com.upload.domain.core.upload,LoadDataServices,2,86,3,3,1,24,3,6,0,6
upload,com.upload.domain.core.upload,ProcessFileService,21,277,6,18,6,56,6,20,0,14
upload,com.upload.domain.core.upload,UploadServiceImpl,0,25,0,0,0,6,0,3,0,3
upload,com.upload.exception,BusinessException,0,9,0,0,0,4,0,2,0,2
upload,com.upload.infraestructure.repository,LoadRepository,0,6,0,0,0,3,0,1,0,1
upload,com.upload.infraestructure.repository,LoadDataRepository,0,6,0,0,0,3,0,1,0,1
upload,com.upload,UploadApplication,5,60,0,0,2,15,1,4,1,4
upload,com.upload,UploadApplication.CustomStringToLocalDateTime,3,6,0,0,1,1,1,1,1,1
upload,com.upload,UploadApplication.CustomStringToLocalDate,6,6,0,0,2,1,1,1,1,1
upload,com.upload.domain.core.external,MercadoLibreService.new ParameterizedTypeReference() {...},0,6,0,0,0,1,0,1,0,1
upload,com.upload.domain.core.external,MercadoLibreService.new ParameterizedTypeReference() {...},0,6,0,0,0,1,0,1,0,1
upload,com.upload.domain.core.external,MercadoLibreService.new ParameterizedTypeReference() {...},0,6,0,0,0,1,0,1,0,1
upload,com.upload.domain.core.external,MercadoLibreService.new ParameterizedTypeReference() {...},0,6,0,0,0,1,0,1,0,1
upload,com.upload.domain.core.external,MercadoLibreService.new ParameterizedTypeReference() {...},0,6,0,0,0,1,0,1,0,1
upload,com.upload.domain.core.external,ResTemplateAbstrad,16,44,1,1,3,9,1,4,0,4
upload,com.upload.domain.core.external,MercadoLibreService,40,89,0,0,15,14,0,7,0,7
upload,com.upload.infraestructure.entity,Load,8,37,0,0,0,8,2,11,2,11
upload,com.upload.infraestructure.entity,LoadData,4,55,0,0,0,10,1,16,1,16
upload,com.upload.config,SwaggerConfig,0,28,0,0,0,12,0,3,0,3
upload,com.upload.config,RestResponseEntityExceptionHandler,13,3,0,0,2,1,1,1,1,1
upload,com.upload.application.api,UploadApi,0,12,0,0,0,2,0,2,0,2
upload,com.upload.application.api.model,CategoryResponse,0,9,0,0,0,3,0,3,0,3
upload,com.upload.application.api.model,UserResponse,0,9,0,0,0,3,0,3,0,3
upload,com.upload.application.api.model,SitesResponse,0,6,0,0,0,2,0,2,0,2
upload,com.upload.application.api.model,ItemResponse.ItemBody,0,24,0,0,0,7,0,7,0,7
upload,com.upload.application.api.model,FileRow,0,17,0,0,0,4,0,5,0,5
upload,com.upload.application.api.model,ItemResponse,0,9,0,0,0,3,0,3,0,3
upload,com.upload.application.api.model,UserResponse.UserBody,0,12,0,0,0,3,0,3,0,3
upload,com.upload.application.api.model,CurrencyResponse,0,9,0,0,0,3,0,3,0,3
upload,com.upload.domain.core,MessageUtil,7,0,0,0,2,0,1,0,1,0
upload,com.upload.domain.core,FileUtil,20,57,1,3,5,16,2,5,1,4
